model,n_train,n_plays,mean_width,std_width,se_width,n_test,coverage,crps,mean_q,std_q,seed,alpha,timestamp
ridge_multinomial,20,870,21.402659069325736,8.203614644106993,0.10320849398327378,6318.0,0.9392212725546059,0.014577906004667279,0.12345679012345678,0.32898684151126467,209,0.1,2026-02-11T23:07:47.449579+00:00
tree_multiclass_hgbt,20,870,15.962171573282685,4.827332984171362,0.06073198082384368,6318.0,0.9197530864197531,0.01443967633773716,1.508388730610953,0.5012340947523647,209,0.1,2026-02-11T23:07:47.449607+00:00
zoo_cnn_distributional,20,870,20.292497625830958,9.284822310756656,0.11681101187314576,6318.0,0.9333649889205444,0.01600110855117782,1.7177904400126622,1.3235378612815645,209,0.1,2026-02-11T23:07:47.449609+00:00
ridge_multinomial,40,1777,21.40914846470402,8.697903790549203,0.10942707452486765,6318.0,0.9357391579613802,0.014488991375530716,0.30151946818613484,0.49448524572582314,209,0.1,2026-02-11T23:08:42.492764+00:00
tree_multiclass_hgbt,40,1777,15.703228869895536,5.243577135540022,0.06596868852597412,6318.0,0.9218106995884774,0.014367026671513225,2.419911364355809,0.4935831954222466,209,0.1,2026-02-11T23:08:42.492774+00:00
zoo_cnn_distributional,40,1777,17.66951566951567,7.908611585104205,0.0994971029975931,6318.0,0.9145299145299145,0.015998625775470666,2.8686293130737575,1.8097305425590522,209,0.1,2026-02-11T23:08:42.492777+00:00
ridge_multinomial,60,2666,21.336657169990502,8.493103388078314,0.10685051016596368,6318.0,0.9370053814498259,0.014462421472492328,0.2768281101614435,0.4495838462921719,209,0.1,2026-02-11T23:09:56.414988+00:00
tree_multiclass_hgbt,60,2666,14.657486546375436,4.540336881484156,0.0571213242020467,6318.0,0.9145299145299145,0.0143240013845949,2.337290281734726,0.4728223052532415,209,0.1,2026-02-11T23:09:56.415002+00:00
zoo_cnn_distributional,60,2666,16.95457423235201,7.430603034341367,0.0934833462847764,6318.0,0.9176954732510288,0.015294222940137015,2.1269389047166825,1.2560567210014197,209,0.1,2026-02-11T23:09:56.415004+00:00
ridge_multinomial,80,3567,20.995093383982272,8.535475216338908,0.10738358403301022,6318.0,0.934156378600823,0.014460536575096394,0.26384931940487494,0.4414711946032371,209,0.1,2026-02-11T23:11:23.122698+00:00
tree_multiclass_hgbt,80,3567,14.883190883190883,4.6888257641279765,0.05898944144252881,6318.0,0.9176954732510288,0.014238805362970479,2.680753402975625,0.4662216329367171,209,0.1,2026-02-11T23:11:23.122718+00:00
zoo_cnn_distributional,80,3567,15.792655903767015,4.929330874536232,0.062015201588191904,6318.0,0.9156378600823045,0.014454867562127873,1.6519468186134854,0.7594719858858691,209,0.1,2026-02-11T23:11:23.122720+00:00
ridge_multinomial,100,4446,21.25039569484014,8.592270549065772,0.10809811793182388,6318.0,0.9351060462171573,0.014471853718410047,0.29708768597657487,0.49107378370781657,209,0.1,2026-02-11T23:12:57.631066+00:00
tree_multiclass_hgbt,100,4446,13.898385565052232,4.13230541013775,0.051987939044115986,6318.0,0.9080405191516303,0.01419890726848386,2.158119658119658,0.37303407147343487,209,0.1,2026-02-11T23:12:57.631076+00:00
zoo_cnn_distributional,100,4446,15.694523583412472,5.236989736789925,0.06588581341131315,6318.0,0.9148464704020259,0.014398862835956481,1.9498258942703388,0.8456178942044946,209,0.1,2026-02-11T23:12:57.631077+00:00
